locus_id	sample_id	group	n_overlapping_peaks	peak_present	covered_bp	mean_RPGC
73	673	PBMC	0	FALSE	501	3.904366379726433
73	773	AML	0	FALSE	501	5.5396957311801565
73	990	AML	0	FALSE	501	3.264775329959131
74	018	AML	0	FALSE	501	0.2801909913083988
74	027	AML	0	FALSE	501	1.5526336010344728
74	103	PBMC	0	FALSE	501	1.4681318967404242
74	1360	AML	0	FALSE	501	4.379839430074254
74	168	AML	0	FALSE	501	1.8569527719311134
74	1916	AML	0	FALSE	501	2.1389577491078784
74	260	AML	0	FALSE	501	2.7207324262150747
74	270	AML	0	FALSE	501	0.41398402459607153
74	472	AML	0	FALSE	501	0.777135728124135
74	546	AML	0	FALSE	501	2.1118513533693113
74	566	AML	1	TRUE	501	4.902304324323308
74	576	PBMC	0	FALSE	501	2.1662831839449153
74	629	AML	0	FALSE	501	1.6687161363289504
74	673	PBMC	0	FALSE	501	5.568145099038373
74	773	AML	0	FALSE	501	0.5491523143060193
74	990	AML	0	FALSE	501	1.3862733312709603
75	018	AML	0	FALSE	501	0
75	027	AML	0	FALSE	501	1.8526111039334905
75	103	PBMC	0	FALSE	501	1.328311249405562
75	1360	AML	0	FALSE	501	2.2225392754682285
75	168	AML	0	FALSE	501	1.033337243778739
75	1916	AML	0	FALSE	501	0.6561484841291538
75	260	AML	0	FALSE	501	0.4209289436568757
75	270	AML	0	FALSE	501	0.45538242705567866
75	472	AML	0	FALSE	501	2.3879282108086075
75	546	AML	0	FALSE	501	2.163740370801823
75	566	AML	0	FALSE	501	7.227847715099891
75	576	PBMC	0	FALSE	501	2.3135063938513962
75	629	AML	0	FALSE	501	0.9994125723124978
75	673	PBMC	0	FALSE	501	3.0703938364268777
75	773	AML	1	TRUE	501	4.239070577297858
75	990	AML	0	FALSE	501	1.0020344626165911
76	018	AML	0	FALSE	501	1.059472185884883
76	027	AML	0	FALSE	501	0.9922364034100682
76	103	PBMC	0	FALSE	501	3.595045196795892
76	1360	AML	0	FALSE	501	4.719519864537283
76	168	AML	0	FALSE	501	1.6597297148790189
76	1916	AML	0	FALSE	501	2.2231346951749273
76	260	AML	0	FALSE	501	1.706676774396154
76	270	AML	0	FALSE	501	1.8298124058279925
76	472	AML	0	FALSE	501	5.528267734065027
76	546	AML	0	FALSE	501	2.132608035367406
76	566	AML	0	FALSE	501	5.501555942489715
76	576	PBMC	0	FALSE	501	3.403658590392914
76	629	AML	0	FALSE	501	1.7686573911807733
76	673	PBMC	0	FALSE	501	6.346936937815653
76	773	AML	1	TRUE	501	10.992677562964891
76	990	AML	0	FALSE	501	5.8640372010762105
77	018	AML	1	TRUE	501	6.0635194302557
77	027	AML	0	FALSE	501	4.657898561683243
77	103	PBMC	0	FALSE	501	6.286625133065169
77	1360	AML	0	FALSE	501	2.278778404770735
77	168	AML	0	FALSE	501	3.2389039517400744
77	1916	AML	0	FALSE	501	2.1907589687796647
77	260	AML	0	FALSE	501	3.0880901447075333
77	270	AML	0	FALSE	501	3.121444602212506
77	472	AML	0	FALSE	501	5.764940660156889
