GSM	sample_id	group	assay	mark	track_type	status	n_intervals	file_size_bytes	elapsed_seconds	output_file	error_message	fname	url	GSE	title
GSM4604188	472	AML	CUT&Tag	H3K27ac	H3K27ac	success	13690	581993	1.422780990600586	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27ac/GSM4604188_472_H3K27ac_DNMT3A.bedGraph	NA	GSM4604188_472_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604188/suppl//GSM4604188_472_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	472_CUT&TAG_H3K27ac
GSM4604186	546	AML	CUT&Tag	H3K27ac	H3K27ac	success	16344	691238	1.5474309921264648	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27ac/GSM4604186_546_H3K27ac_DNMT3A.bedGraph	NA	GSM4604186_546_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604186/suppl//GSM4604186_546_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	546_CUT&TAG_H3K27ac
GSM4604182	629	AML	CUT&Tag	H3K27ac	H3K27ac	success	34837	1481120	1.9193000793457031	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27ac/GSM4604182_629_H3K27ac_DNMT3A.bedGraph	NA	GSM4604182_629_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604182/suppl//GSM4604182_629_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	629_CUT&TAG_H3K27ac
GSM4604184	773	AML	CUT&Tag	H3K27ac	H3K27ac	success	18154	763931	1.580216884613037	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27ac/GSM4604184_773_H3K27ac_DNMT3A.bedGraph	NA	GSM4604184_773_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604184/suppl//GSM4604184_773_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	773_CUT&TAG_H3K27ac
GSM4604180	103	PBMC	CUT&Tag	H3K27ac	H3K27ac	already_exists	NA	468698	NA	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27ac/GSM4604180_103_H3K27ac_DNMT3A.bedGraph	NA	GSM4604180_103_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604180/suppl//GSM4604180_103_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	103_CUT&TAG_H3K27ac
GSM4604181	673	PBMC	CUT&Tag	H3K27ac	H3K27ac	success	3488	146397	1.3529870510101318	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27ac/GSM4604181_673_H3K27ac_DNMT3A.bedGraph	NA	GSM4604181_673_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604181/suppl//GSM4604181_673_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	673_CUT&TAG_H3K27ac
GSM4604197	018	AML	CUT&Tag	H3K27me3	H3K27me3	success	7316	312969	1.3552489280700684	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27me3/GSM4604197_018_H3K27me3_DNMT3A.bedGraph	NA	GSM4604197_018_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604197/suppl//GSM4604197_018_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	018_CUT&TAG_H3K27me3
GSM4604203	027	AML	CUT&Tag	H3K27me3	H3K27me3	success	8975	377323	1.4719979763031006	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27me3/GSM4604203_027_H3K27me3_DNMT3A.bedGraph	NA	GSM4604203_027_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604203/suppl//GSM4604203_027_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	027_CUT&TAG_H3K27me3
GSM4604201	1360	AML	CUT&Tag	H3K27me3	H3K27me3	success	7994	336751	1.3322150707244873	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27me3/GSM4604201_1360_H3K27me3_DNMT3A.bedGraph	NA	GSM4604201_1360_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604201/suppl//GSM4604201_1360_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	1360_CUT&TAG_H3K27me3
GSM4604202	168	AML	CUT&Tag	H3K27me3	H3K27me3	success	11891	510153	1.4390339851379395	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27me3/GSM4604202_168_H3K27me3_DNMT3A.bedGraph	NA	GSM4604202_168_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604202/suppl//GSM4604202_168_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	168_CUT&TAG_H3K27me3
