GSM	fname	url	GSE	sample_id	group	assay	mark	title
GSM4604184	GSM4604184_773_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604184/suppl//GSM4604184_773_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	773	AML	CUT&Tag	H3K27ac	773_CUT&TAG_H3K27ac
GSM4604185	GSM4604185_018_CUT_TAG_H3K27ac.MACS2.filt.peaks.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604185/suppl//GSM4604185_018_CUT_TAG_H3K27ac.MACS2.filt.peaks.txt.gz	GSE152132	018	AML	CUT&Tag	H3K27ac	018_CUT&TAG_H3K27ac
GSM4604185	GSM4604185_018_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604185/suppl//GSM4604185_018_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	018	AML	CUT&Tag	H3K27ac	018_CUT&TAG_H3K27ac
GSM4604186	GSM4604186_546_CUT_TAG_H3K27ac.MACS2.filt.peaks.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604186/suppl//GSM4604186_546_CUT_TAG_H3K27ac.MACS2.filt.peaks.txt.gz	GSE152132	546	AML	CUT&Tag	H3K27ac	546_CUT&TAG_H3K27ac
GSM4604186	GSM4604186_546_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604186/suppl//GSM4604186_546_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	546	AML	CUT&Tag	H3K27ac	546_CUT&TAG_H3K27ac
GSM4604187	GSM4604187_1916_CUT_TAG_H3K27ac.MACS2.filt.peaks.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604187/suppl//GSM4604187_1916_CUT_TAG_H3K27ac.MACS2.filt.peaks.txt.gz	GSE152132	1916	AML	CUT&Tag	H3K27ac	1916_CUT&TAG_H3K27ac
GSM4604187	GSM4604187_1916_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604187/suppl//GSM4604187_1916_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	1916	AML	CUT&Tag	H3K27ac	1916_CUT&TAG_H3K27ac
GSM4604188	GSM4604188_472_CUT_TAG_H3K27ac.MACS2.filt.peaks.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604188/suppl//GSM4604188_472_CUT_TAG_H3K27ac.MACS2.filt.peaks.txt.gz	GSE152132	472	AML	CUT&Tag	H3K27ac	472_CUT&TAG_H3K27ac
GSM4604188	GSM4604188_472_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604188/suppl//GSM4604188_472_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	472	AML	CUT&Tag	H3K27ac	472_CUT&TAG_H3K27ac
GSM4604189	GSM4604189_1360_CUT_TAG_H3K27ac.MACS2.filt.peaks.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604189/suppl//GSM4604189_1360_CUT_TAG_H3K27ac.MACS2.filt.peaks.txt.gz	GSE152132	1360	AML	CUT&Tag	H3K27ac	1360_CUT&TAG_H3K27ac
GSM4604189	GSM4604189_1360_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604189/suppl//GSM4604189_1360_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	1360	AML	CUT&Tag	H3K27ac	1360_CUT&TAG_H3K27ac
GSM4604190	GSM4604190_168_CUT_TAG_H3K27ac.MACS2.filt.peaks.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604190/suppl//GSM4604190_168_CUT_TAG_H3K27ac.MACS2.filt.peaks.txt.gz	GSE152132	168	AML	CUT&Tag	H3K27ac	168_CUT&TAG_H3K27ac
GSM4604190	GSM4604190_168_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604190/suppl//GSM4604190_168_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	168	AML	CUT&Tag	H3K27ac	168_CUT&TAG_H3K27ac
GSM4604191	GSM4604191_027_CUT_TAG_H3K27ac.MACS2.filt.peaks.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604191/suppl//GSM4604191_027_CUT_TAG_H3K27ac.MACS2.filt.peaks.txt.gz	GSE152132	027	AML	CUT&Tag	H3K27ac	027_CUT&TAG_H3K27ac
GSM4604191	GSM4604191_027_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604191/suppl//GSM4604191_027_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	027	AML	CUT&Tag	H3K27ac	027_CUT&TAG_H3K27ac
GSM4604192	GSM4604192_103_CUT_TAG_H3K27me3.MACS2.filt.peaks.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604192/suppl//GSM4604192_103_CUT_TAG_H3K27me3.MACS2.filt.peaks.txt.gz	GSE152132	103	PBMC	CUT&Tag	H3K27me3	103_CUT&TAG_H3K27me3
GSM4604192	GSM4604192_103_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604192/suppl//GSM4604192_103_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	103	PBMC	CUT&Tag	H3K27me3	103_CUT&TAG_H3K27me3
GSM4604193	GSM4604193_673_CUT_TAG_H3K27me3.MACS2.filt.peaks.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604193/suppl//GSM4604193_673_CUT_TAG_H3K27me3.MACS2.filt.peaks.txt.gz	GSE152132	673	PBMC	CUT&Tag	H3K27me3	673_CUT&TAG_H3K27me3
GSM4604193	GSM4604193_673_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604193/suppl//GSM4604193_673_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	673	PBMC	CUT&Tag	H3K27me3	673_CUT&TAG_H3K27me3
GSM4604194	GSM4604194_629_CUT_TAG_H3K27me3.MACS2.filt.peaks.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604194/suppl//GSM4604194_629_CUT_TAG_H3K27me3.MACS2.filt.peaks.txt.gz	GSE152132	629	AML	CUT&Tag	H3K27me3	629_CUT&TAG_H3K27me3
GSM4604194	GSM4604194_629_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604194/suppl//GSM4604194_629_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	629	AML	CUT&Tag	H3K27me3	629_CUT&TAG_H3K27me3
GSM4604195	GSM4604195_270_CUT_TAG_H3K27me3.MACS2.filt.peaks.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604195/suppl//GSM4604195_270_CUT_TAG_H3K27me3.MACS2.filt.peaks.txt.gz	GSE152132	270	AML	CUT&Tag	H3K27me3	270_CUT&TAG_H3K27me3
GSM4604195	GSM4604195_270_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604195/suppl//GSM4604195_270_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	270	AML	CUT&Tag	H3K27me3	270_CUT&TAG_H3K27me3
GSM4604196	GSM4604196_773_CUT_TAG_H3K27me3.MACS2.filt.peaks.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604196/suppl//GSM4604196_773_CUT_TAG_H3K27me3.MACS2.filt.peaks.txt.gz	GSE152132	773	AML	CUT&Tag	H3K27me3	773_CUT&TAG_H3K27me3
GSM4604196	GSM4604196_773_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604196/suppl//GSM4604196_773_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	773	AML	CUT&Tag	H3K27me3	773_CUT&TAG_H3K27me3
GSM4604197	GSM4604197_018_CUT_TAG_H3K27me3.MACS2.filt.peaks.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604197/suppl//GSM4604197_018_CUT_TAG_H3K27me3.MACS2.filt.peaks.txt.gz	GSE152132	018	AML	CUT&Tag	H3K27me3	018_CUT&TAG_H3K27me3
GSM4604197	GSM4604197_018_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604197/suppl//GSM4604197_018_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	018	AML	CUT&Tag	H3K27me3	018_CUT&TAG_H3K27me3
